City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
8,Bathsheba,BB,81.21,broken clouds,13.2167,-59.5167,Atlantis Hotel
18,Carutapera,BR,75.7,clear sky,-1.195,-46.02,Lidera
20,Axim,GH,75.2,overcast clouds,4.8699,-2.2405,Axim Beach Resort And Spa
31,Kapaa,US,80.58,few clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
34,Samarai,PG,79.18,light rain,-10.6167,150.6667,Nuli Sapi
40,Nukus,UZ,80.58,few clouds,42.4531,59.6103,Hotel Jipek Joli
43,Jacksonville,US,81.01,clear sky,30.3322,-81.6556,Hyatt Regency Jacksonville Riverfront
44,Wanning,CN,90.21,few clouds,18.8003,110.3967,Paradise Hotel
49,Juana Diaz,PR,77.59,clear sky,18.0525,-66.5066,Motel El Edén
57,Hilo,US,79.29,clear sky,19.7297,-155.09,Hilo Hawaiian Hotel
58,Baker City,US,75.65,clear sky,44.7749,-117.8344,Bridge Street Inn
60,Bengkulu,ID,84.81,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
62,Batticaloa,LK,78.17,overcast clouds,7.7102,81.6924,Grand Star Guest House
63,Kavaratti,IN,81.5,overcast clouds,10.5669,72.642,Green leaf
65,Vaini,TO,77.16,few clouds,-21.2,-175.2,Keleti Beach Resort
70,Khandyga,RU,87.24,scattered clouds,62.6667,135.6,Apel'sin
75,Busayra,JO,75.45,overcast clouds,30.7376,35.6078,Matan Eco Villege
78,Mola Di Bari,IT,80.58,clear sky,41.0609,17.0873,Hotel Gabbiano
79,Mandalgovi,MN,78.57,few clouds,45.7625,106.2708,В.Ганбат
80,Georgetown,MY,87.73,scattered clouds,5.4112,100.3354,Cititel Penang
83,Sinnamary,GF,76.51,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
90,Portland,US,85.66,clear sky,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
93,Iralaya,HN,79.03,few clouds,15.0,-83.2333,Iglesia morava renovada
95,Kushima,JP,82.58,light rain,31.4583,131.2333,Hanaoka
105,Sabang,ID,80.2,overcast clouds,5.8933,95.3214,Hotel Citra
107,Suntar,RU,88.77,broken clouds,62.1444,117.6319,Гостевая квартира
108,Pasighat,IN,87.84,broken clouds,28.0667,95.3333,Siang Guest House
109,Shetpe,KZ,76.39,clear sky,44.1667,52.1167,Rtsm Shetpe Analog
116,Hobyo,SO,78.24,broken clouds,5.3505,48.5268,Iftin hotel hobyo
118,Diplo,PK,87.39,overcast clouds,24.4667,69.584,Mukhi Ahmed Ali Residency
122,Cabo San Lucas,MX,85.6,few clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
123,Kawalu,ID,85.37,broken clouds,-7.3817,108.2082,West Jontor
124,Bethel,US,77.65,broken clouds,41.3712,-73.414,Courtyard by Marriott Danbury
125,Thanh Hoa,VN,90.21,overcast clouds,19.8,105.7667,KHÁCH SẠN NGỌC LY 8
126,Yima,CN,86.59,scattered clouds,34.7381,111.8839,Yima Hotel
127,Bari,IT,79.86,clear sky,41.1177,16.8512,Mercure Villa Romanazzi Carducci Bari
131,Samana,DO,76.24,clear sky,19.2056,-69.3369,The Bannister - Hotel & Yacht Club
132,Kununurra,AU,85.98,clear sky,-15.7667,128.7333,Hotel Kununurra
134,Kieta,PG,81.99,light rain,-6.2167,155.6333,Uruna Bay Retreat
136,Shimoda,JP,88.16,clear sky,34.6667,138.95,Shimoda Tokyu Hotel
140,Hovd,MN,75.16,scattered clouds,48.0056,91.6419,Hotel Khovd
141,Hithadhoo,MV,81.7,overcast clouds,-0.6,73.0833,Scoop Guest House
148,Tahta,EG,86.81,scattered clouds,26.7693,31.5021,فندق الزيات
150,Kupang,ID,83.61,overcast clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
152,Santa Rosa,PH,90.09,overcast clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
153,Khandbari,NP,80.08,overcast clouds,27.3747,87.2039,Sainik Hotel And Lodge
154,Redmond,US,80.53,clear sky,47.674,-122.1215,Seattle Marriott Redmond
160,Sigli,ID,82.44,overcast clouds,5.3848,95.9609,Losmen Dua Mali
164,Shenjiamen,CN,84.36,moderate rain,29.9576,122.298,Jinjiang Inn Zhoushan Putuo Shenjiamen
165,Praia,CV,79.34,few clouds,14.9215,-23.5087,LT Aparthotel
167,Katsuura,JP,84.6,few clouds,35.1333,140.3,Katsuura Hotel Mikazuki
172,Atuona,PF,77.52,light rain,-9.8,-139.0333,Villa Enata
176,Avarua,CK,75.25,broken clouds,-21.2078,-159.775,Paradise Inn
180,Butaritari,KI,81.99,broken clouds,3.0707,172.7902,Isles Sunset Lodge
187,Martapura,ID,89.69,scattered clouds,-3.4167,114.85,Montana Hotel Syariah
188,Nichinan,JP,85.68,broken clouds,31.6,131.3667,Guest House Aki
193,Mareeba,AU,75.43,clear sky,-17.0,145.4333,Trinity Plains Tourist Park
198,Shancheng,CN,86.72,few clouds,34.7953,116.0817,Shanxian Golden Dragon Hotel
199,Tura,IN,82.15,broken clouds,25.5198,90.2201,Hotel RIKMAN Continental
201,Bacolod,PH,84.81,light rain,10.6667,122.95,Planta Hotel & Residences
206,Dingle,PH,83.55,light rain,10.9995,122.6711,SEGAYA PROPERTY
212,Baculin,PH,86.59,overcast clouds,7.4525,126.5842,Baculin Cove Beach Resort
215,Puerto El Triunfo,SV,77.04,broken clouds,13.2833,-88.55,Hotel Jardin
217,Bontang,ID,83.68,light rain,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
221,Teluk Nibung,ID,82.44,overcast clouds,3.001,99.8164,Hotel Assyifa
222,Kalaleh,IR,75.56,overcast clouds,37.3807,55.4916,کلاله
226,Bandarbeyla,SO,81.45,scattered clouds,9.4942,50.8122,JABIR HOTEL
228,Lorengau,PG,83.52,scattered clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
230,Hamilton,US,77.0,clear sky,39.1834,-84.5333,Six Acres Bed & Breakfast
233,Meulaboh,ID,75.2,light rain,4.1363,96.1285,Kost Pria
234,Kalmunai,LK,78.22,overcast clouds,7.4167,81.8167,VS Villa
236,Majene,ID,86.43,scattered clouds,-3.5403,118.9707,Kost Putri RABBANI
239,Salinopolis,BR,78.08,few clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
243,Kahului,US,80.62,few clouds,20.8947,-156.47,Maui Seaside Hotel
248,Bastrop,US,80.71,broken clouds,32.7562,-91.8724,Best Budget Inn
253,Payo,ID,80.74,overcast clouds,-3.7508,103.6372,Mess keban agung
254,Eyl,SO,81.0,scattered clouds,7.9803,49.8164,Amiin Hotel
257,Joshimath,IN,78.82,overcast clouds,30.5667,79.5667,Shivalik Camps & Resort
258,Ayagoz,KZ,88.83,overcast clouds,47.9714,80.4392,ХАН
260,Acapulco,MX,80.42,clear sky,16.8634,-99.8901,HS Hotsson Smart Acapulco
267,Hondo,JP,86.79,scattered clouds,32.45,130.2,ホテル河丁
269,Altay,CN,84.79,scattered clouds,47.8667,88.1167,Jinqiao Hotel
273,Atar,MR,85.06,few clouds,20.5169,-13.0499,Oumou Elghoura
275,Boralday,KZ,82.26,broken clouds,43.3578,76.8594,"Zhetysu, Too Zhetysu"
276,Dhidhdhoo,MV,79.39,overcast clouds,6.8833,73.1,Dhidhoo beach
277,Varkkallai,IN,83.98,overcast clouds,8.7341,76.7067,Hindustan Beach Retreat
280,Centralia,US,78.85,clear sky,46.7162,-122.9543,Peppermill Inn
282,Faanui,PF,79.25,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
283,Zhigansk,RU,80.8,overcast clouds,66.7697,123.3711,Gostinichnyy Kompleks Aylgy
286,Shubarkuduk,KZ,77.45,light rain,49.1447,56.4872,Sirius
288,Morant Bay,JM,80.22,scattered clouds,17.8815,-76.4093,Whispering Bamboo Cove Resort
292,Faya,SA,75.31,scattered clouds,18.3851,42.4509,املاك خالد الشعشوع
296,Manggar,ID,80.28,overcast clouds,-2.8833,108.2667,Guest Hotel
297,Kizukuri,JP,87.12,broken clouds,40.8061,140.3861,Kashiwa Roman-sō
299,Mahibadhoo,MV,81.88,broken clouds,3.7833,72.9667,Omadhoo Inn
302,San Andres,CO,80.62,scattered clouds,12.5847,-81.7006,Hotel Arena Blanca
304,Mana,GF,75.15,scattered clouds,5.6592,-53.7767,LE SAMANA
308,Brigantine,US,80.02,clear sky,39.4101,-74.3646,Legacy Vacation Resorts - Brigantine Beach
309,Kilindoni,TZ,75.72,broken clouds,-7.9139,39.6668,Bustani B&B
312,Catuday,PH,83.77,overcast clouds,16.2923,119.8062,Benjie's Kubo & Cottages
313,Laguna,US,81.18,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
314,San Patricio,US,85.86,broken clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
318,Blagoveshchenka,RU,81.09,few clouds,52.8333,79.8667,"Gostinitsa ""Tsentral'naya"""
322,Ajdabiya,LY,77.72,clear sky,30.7554,20.2263,Almadina Hotel
323,Itarema,BR,76.1,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
324,Nantucket,US,78.91,fog,41.2835,-70.0995,Jared Coffin House
325,Khartoum,SD,78.03,overcast clouds,15.5518,32.5324,Hotel China
326,Progreso,MX,78.12,overcast clouds,21.2833,-89.6667,Playa Linda Hotel
332,Dicabisagan,PH,88.9,overcast clouds,17.0818,122.4157,Nancy Montanes Bernardo
333,Shingu,JP,85.14,scattered clouds,33.7333,135.9833,Shingu UI Hotel
334,Makakilo City,US,80.92,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
342,Imeni Poliny Osipenko,RU,81.57,overcast clouds,52.4201,136.4853,Yubileynaya
343,Najran,SA,86.65,scattered clouds,17.4924,44.1277,محمد هادي ال فطيح
349,Aksu,CN,90.43,overcast clouds,41.1231,80.2644,Pudong Holiday Hotel
352,Robertsport,LR,76.15,scattered clouds,6.7533,-11.3686,Kwepunha Retreat
356,Cockburn Town,TC,81.41,overcast clouds,21.4612,-71.1419,Osprey Beach Hotel
358,Ravar,IR,88.41,broken clouds,31.2656,56.8055,computertik
359,Jaisalmer,IN,84.9,overcast clouds,26.9147,70.9181,Hotel Fifu
361,La Palma,US,78.94,scattered clouds,33.8464,-118.0467,La Quinta Inn & Suites by Wyndham Buena Park
364,Marsaxlokk,MT,81.21,few clouds,35.8419,14.5431,Water's Edge
367,Estelle,US,80.58,clear sky,29.8458,-90.1067,Ohio
371,Mirnyy,RU,89.24,broken clouds,62.5353,113.9611,квартира
372,Morwa,IN,85.35,overcast clouds,22.9,73.8333,mahakali maa hotel
373,Fukue,JP,89.96,few clouds,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
375,Bairiki,KI,84.2,scattered clouds,1.3292,172.9752,Tarawa Boutique Hotel
382,Ahtopol,BG,76.46,clear sky,42.1,27.95,Agata Beach Hotel
385,Coahuayana,MX,75.9,overcast clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
388,Shitanjing,CN,89.47,clear sky,39.2342,106.3439,Yingbin Hotel
390,Puli,TW,88.41,few clouds,23.9664,120.9695,牛耳藝術渡假村木屋區
392,Nieves,PH,90.91,broken clouds,15.3274,120.9485,Bill's Inn
401,Rong Kwang,TH,89.08,overcast clouds,18.339,100.3174,Rong Kwang Hotel
408,Puerto Escondido,MX,78.37,overcast clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
409,Aknashen,AM,83.62,clear sky,40.0955,44.286,Խորոնքի հին բնակատեղի
411,Sola,VU,80.19,overcast clouds,-13.8833,167.55,Leumerus Bungalows
413,San Buenaventura,MX,89.47,broken clouds,27.0833,-101.5333,Hotel Gran Plaza
414,Pemangkat,ID,82.45,broken clouds,1.1667,108.9667,Ramah Kost KITA
415,Muncar,ID,82.74,overcast clouds,-8.4333,114.3333,Zaky Homestay
422,Alofi,NU,76.89,few clouds,-19.0595,-169.9187,Taloa Heights
423,Islampur,IN,90.54,scattered clouds,26.2667,88.2,Circuit House
426,Khuzdar,PK,79.18,overcast clouds,27.7384,66.6434,jhalwan Rent A Car Compny Moola Chotok
427,Vaitape,PF,79.27,clear sky,-16.5167,-151.75,Conrad Bora Bora Nui
432,Kinablangan,PH,85.91,overcast clouds,7.6947,126.5503,Morales Eatery and Lodging House
433,Vanimo,PG,84.74,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
434,Gornyak,RU,89.92,moderate rain,50.9942,81.4661,"Комфорт ""Danilo"""
438,Cozumel,MX,81.84,few clouds,20.5083,-86.9458,Cozumel Palace® All Inclusive Resort
439,Hambantota,LK,84.54,moderate rain,6.1241,81.1185,Bungalow 63
440,Sao Filipe,CV,77.47,clear sky,14.8961,-24.4956,Hotel Xaguate
441,Key West,US,84.2,light rain,24.5557,-81.7826,Fairfield Inn & Suites by Marriott Key West
444,Japura,ID,88.59,moderate rain,-0.3167,102.35,Rumah mbah Jamah
446,Kathu,TH,87.62,broken clouds,7.9178,98.3332,Novotel Phuket Resort
447,Natchez,US,75.42,clear sky,31.5604,-91.4032,Hampton Inn & Suites Natchez
454,Kropotkin,RU,85.35,clear sky,45.4375,40.5756,Hotel Europe Kropotkin
455,Kamiiso,JP,77.38,broken clouds,41.8167,140.65,Business Inn Abe
457,Pokhara,NP,78.6,overcast clouds,28.2333,83.9833,OYO 170 Hotel View Point
463,Labuhan,ID,87.13,overcast clouds,-6.8844,112.2051,DoubleFAG
464,Huilong,CN,86.16,few clouds,31.8111,121.655,Hilton Garden Inn Qidong
465,Beberibe,BR,75.63,scattered clouds,-4.1797,-38.1306,Villa Arte Pousada Morro Branco
467,Udachnyy,RU,84.45,scattered clouds,66.4167,112.4,Severnoye Siyaniye
468,Ojinaga,MX,79.75,broken clouds,29.5667,-104.4167,Suites Las Palmas
475,Akhmeta,GE,75.72,overcast clouds,42.0311,45.2075,Hostel Kakheti
477,Niceville,US,85.95,broken clouds,30.5169,-86.4822,Hampton Inn Niceville-Eglin Air Force Base
480,Saint George,US,82.94,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
481,Darnah,LY,80.31,clear sky,32.767,22.6367,فندق الفردوس
484,Cayenne,GF,76.08,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
485,Alihe,CN,80.53,overcast clouds,50.5667,123.7167,Alihe Forestry Hotel
490,Trairi,BR,77.2,overcast clouds,-3.2778,-39.2689,janelas do mar
491,Along,IN,86.92,broken clouds,28.1667,94.7667,Hotel West
494,Sur,OM,86.85,broken clouds,22.5667,59.5289,Sur Plaza Hotel
496,Khem Karan,IN,84.29,light rain,31.1428,74.5667,Guru Telecom khem karan
497,Basco,PH,86.16,overcast clouds,20.4487,121.9702,Nathaniel's Lodge
499,Yar-Sale,RU,76.53,broken clouds,66.8333,70.8333,Yalemd
502,Elizabeth City,US,82.42,few clouds,36.2946,-76.2511,Hampton Inn Elizabeth City
505,Dmitriyevskoye,RU,86.27,clear sky,45.8053,41.8967,Kafe Orkhideya
507,Sainte-Luce,MQ,78.75,few clouds,14.4673,-60.9271,Pierre et Vacances Resort Sainte-Luce
508,Jiangyou,CN,88.21,scattered clouds,31.7667,104.7167,Shangping Shuyuan Inn
513,Ormara,PK,82.51,overcast clouds,25.2088,64.6357,Kenara Colony House for Rent
519,Padang,ID,80.65,overcast clouds,-0.9492,100.3543,Mercure Padang
521,Jawhar,SO,79.88,broken clouds,2.7809,45.5005,Hotel Shabelle
528,Road Town,VG,80.69,clear sky,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
529,Alexandria,EG,80.56,clear sky,31.2156,29.9553,Royal Crown Hotel
537,Katobu,ID,86.09,broken clouds,-4.9408,122.5276,La Ode Husein
546,Nouakchott,MR,80.53,overcast clouds,18.0858,-15.9785,HOTEL IMAN
547,Ambunti,PG,87.13,overcast clouds,-4.2365,142.8448,AMBUNTI HIDE INN
556,Bambanglipuro,ID,83.23,broken clouds,-7.95,110.2833,Puri Brata
557,Powell,US,75.2,clear sky,40.1578,-83.0752,The Brig
563,Xingcheng,CN,76.59,overcast clouds,40.6167,120.7167,New Century Hotel
564,Denpasar,ID,82.06,few clouds,-8.65,115.2167,OYO 3156 Hotel Warta 2
565,Oistins,BB,80.69,broken clouds,13.0667,-59.5333,Butterfly Beach Hotel
568,Manokwari,ID,84.13,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
570,Arlit,NE,84.7,scattered clouds,18.7369,7.3853,Case de Passage De la Prefecture
571,Nago,JP,90.03,broken clouds,26.5881,127.9761,Hotel Yugaf Inn Okinawa
572,Key Biscayne,US,84.22,few clouds,25.6937,-80.1628,"The Ritz-Carlton Key Biscayne, Miami"
576,Fare,PF,79.0,light rain,-16.7,-151.0167,Maitai Lapita Village Huahine
578,Maningrida,AU,84.02,overcast clouds,-12.0667,134.2667,Dhukurrdji Lodge
590,Navolato,MX,82.58,overcast clouds,24.7672,-107.6944,Cofradía de San pedro Navolato sinaloa
591,Alice Town,BS,82.96,clear sky,25.7167,-79.3,Bimini Big Game Club Resort & Marina
594,Ixtapa,MX,81.63,broken clouds,20.7,-105.2,hotel la terminal
595,Petrov Val,RU,82.54,scattered clouds,50.1434,45.2096,K.marksa 12
596,Roebourne,AU,79.0,few clouds,-20.7833,117.1333,Latitude20 Roebourne Village
598,Salalah,OM,78.89,broken clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
600,Zeya,RU,79.59,overcast clouds,53.75,127.2667,Kapital Inn
604,Rajula,IN,88.21,broken clouds,21.05,71.4333,Lion Lords Inn Rajula
606,Mogadishu,SO,76.87,broken clouds,2.0371,45.3438,Hotel Juba
608,Ilebo,CD,75.6,overcast clouds,-4.3167,20.5833,Hôtel BUMAK
610,Port Blair,IN,87.84,scattered clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
612,Aloleng,PH,85.98,broken clouds,16.1307,119.7824,Steve Walden and Emma Sison-Walden Residence
616,Samarkand,UZ,89.02,clear sky,39.6542,66.9597,Ideal Hotel
617,Pringsewu,ID,79.16,overcast clouds,-5.3582,104.9744,Urban Style by Front One
620,Manati,PR,78.87,clear sky,18.4275,-66.4921,Manati World Point Inn
