City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
0,Ushuaia,AR,-54.8,-68.3,38.86,81,75,5.75,broken clouds
1,Passy,FR,45.9203,6.6877,68.49,71,65,3.8,broken clouds
2,Carnarvon,AU,-24.8667,113.6333,71.02,70,100,9.98,overcast clouds
3,Torbay,CA,47.6666,-52.7314,55.27,93,100,9.22,overcast clouds
4,Namie,JP,37.4833,141.0,96.71,82,64,4.32,broken clouds
5,Mataura,NZ,-46.1927,168.8643,47.48,95,94,6.71,light rain
6,Saint-Francois,FR,46.4154,3.9054,60.67,88,0,2.3,clear sky
7,Limon,CR,10.0,-83.0333,73.06,78,60,2.42,broken clouds
8,Bathsheba,BB,13.2167,-59.5167,81.21,84,75,11.5,broken clouds
9,Praia Da Vitoria,PT,38.7333,-27.0667,70.05,83,20,3.53,few clouds
10,Broken Hill,AU,-31.95,141.4333,57.7,36,99,4.99,overcast clouds
11,Hobart,AU,-42.8794,147.3294,50.05,68,75,9.22,broken clouds
12,Rikitea,PF,-23.1203,-134.9692,73.09,75,16,21.32,few clouds
13,Severo-Kurilsk,RU,50.6789,156.125,55.42,89,99,10.67,overcast clouds
14,Cabras,IT,39.93,8.5314,72.39,55,0,4.07,clear sky
15,Chokwe,MZ,-24.5333,32.9833,57.67,82,0,2.17,clear sky
16,Hasaki,JP,35.7333,140.8333,99.28,77,2,18.21,clear sky
17,Puerto Ayora,EC,-0.7393,-90.3518,68.56,99,67,5.99,broken clouds
18,Carutapera,BR,-1.195,-46.02,75.7,90,7,4.68,clear sky
19,Chekhov,RU,55.1431,37.4711,64.29,83,36,7.58,scattered clouds
20,Axim,GH,4.8699,-2.2405,75.2,74,98,11.39,overcast clouds
21,Korla,CN,41.7597,86.1469,93.11,18,89,11.61,overcast clouds
22,Bluff,NZ,-46.6,168.3333,47.8,69,92,19.19,overcast clouds
23,Longyearbyen,SJ,78.2186,15.6401,42.33,94,92,6.2,overcast clouds
24,Goderich,CA,43.7501,-81.7165,70.92,94,13,0.0,few clouds
25,Kruisfontein,ZA,-34.0033,24.7314,54.16,63,0,9.51,clear sky
26,Nara,JP,34.6851,135.8049,93.96,49,17,9.75,few clouds
27,Albany,US,42.6001,-73.9662,70.43,89,25,4.0,scattered clouds
28,Vostok,RU,46.4856,135.8833,87.64,43,100,4.16,overcast clouds
29,San Cristobal,VE,7.7669,-72.225,68.18,96,100,1.14,overcast clouds
30,Dikson,RU,73.5069,80.5464,42.71,99,100,15.48,overcast clouds
31,Kapaa,US,22.0752,-159.319,80.58,79,20,9.22,few clouds
32,Lebu,CL,-37.6167,-73.65,47.62,87,5,20.47,clear sky
33,Hermanus,ZA,-34.4187,19.2345,59.81,73,68,21.12,broken clouds
34,Samarai,PG,-10.6167,150.6667,79.18,85,69,14.56,light rain
35,East London,ZA,-33.0153,27.9116,67.14,52,0,6.91,clear sky
36,Port Alfred,ZA,-33.5906,26.891,64.18,60,0,4.0,clear sky
37,Campoverde,PE,-8.4753,-74.8058,74.52,72,42,1.95,scattered clouds
38,Kampene,CD,-3.6,26.6667,68.38,95,94,1.14,light rain
39,Busselton,AU,-33.65,115.3333,57.61,75,83,26.04,light rain
40,Nukus,UZ,42.4531,59.6103,80.58,44,20,11.5,few clouds
41,Airai,TL,-8.9266,125.4092,72.63,43,67,3.89,broken clouds
42,Ilulissat,GL,69.2167,-51.1,46.42,61,96,3.44,overcast clouds
43,Jacksonville,US,30.3322,-81.6556,81.01,85,0,4.61,clear sky
44,Wanning,CN,18.8003,110.3967,90.21,61,12,7.25,few clouds
45,Saint Anthony,US,45.0205,-93.218,65.82,73,0,6.91,clear sky
46,Mar Del Plata,AR,-38.0023,-57.5575,43.09,91,40,11.99,scattered clouds
47,Christchurch,NZ,-43.5333,172.6333,52.0,71,40,9.22,scattered clouds
48,Tilichiki,RU,60.4667,166.1,54.66,64,92,5.82,light rain
49,Juana Diaz,PR,18.0525,-66.5066,77.59,81,1,4.99,clear sky
50,Springbok,ZA,-29.6643,17.8865,45.27,77,99,7.99,overcast clouds
51,Namibe,AO,-15.1961,12.1522,59.16,84,48,6.87,scattered clouds
52,Mineiros,BR,-17.5694,-52.5511,63.19,40,42,4.36,scattered clouds
53,Wakkanai,JP,45.4094,141.6739,71.58,88,75,10.36,mist
54,Bredasdorp,ZA,-34.5322,20.0403,53.04,68,40,9.37,scattered clouds
55,Raudeberg,NO,61.9875,5.1352,53.96,83,100,10.2,overcast clouds
56,Saskylakh,RU,71.9167,114.0833,63.12,77,100,4.56,overcast clouds
57,Hilo,US,19.7297,-155.09,79.29,78,0,3.44,clear sky
58,Baker City,US,44.7749,-117.8344,75.65,43,0,9.22,clear sky
59,Esperance,AU,-33.8667,121.9,69.64,61,80,13.15,light rain
60,Bengkulu,ID,-3.8004,102.2655,84.81,68,87,8.77,overcast clouds
61,Beringovskiy,RU,63.05,179.3167,48.79,78,100,10.54,overcast clouds
62,Batticaloa,LK,7.7102,81.6924,78.17,85,100,8.21,overcast clouds
63,Kavaratti,IN,10.5669,72.642,81.5,80,96,13.82,overcast clouds
64,Souillac,MU,-20.5167,57.5167,71.19,69,0,14.72,clear sky
65,Vaini,TO,-21.2,-175.2,77.16,88,20,6.91,few clouds
66,Mount Darwin,ZW,-16.7725,31.5838,47.16,80,0,2.53,clear sky
67,Bilibino,RU,68.0546,166.4372,54.75,51,90,8.34,overcast clouds
68,Provideniya,RU,64.3833,-173.3,48.36,93,40,7.0,fog
69,Ejea De Los Caballeros,ES,42.1263,-1.1372,68.22,84,47,4.92,scattered clouds
70,Khandyga,RU,62.6667,135.6,87.24,35,25,3.76,scattered clouds
71,Punta Arenas,CL,-53.15,-70.9167,39.31,81,20,25.32,few clouds
72,Ankazoabo,MG,-22.2833,44.5167,65.25,65,0,5.75,clear sky
73,Northampton,US,40.8754,-75.2499,71.91,88,68,3.8,broken clouds
74,Aklavik,CA,68.2191,-135.0107,42.4,88,100,17.27,overcast clouds
75,Busayra,JO,30.7376,35.6078,75.45,39,100,3.22,overcast clouds
76,Tuktoyaktuk,CA,69.4541,-133.0374,44.6,81,100,16.11,overcast clouds
77,Mocuba,MZ,-16.8392,36.9856,60.13,88,29,3.85,scattered clouds
78,Mola Di Bari,IT,41.0609,17.0873,80.58,68,0,1.63,clear sky
79,Mandalgovi,MN,45.7625,106.2708,78.57,25,20,10.89,few clouds
