City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Jaitaran,IN,2022-07-28 03:42:31,26.2031,73.9364,81.81,77,95,14.2
1,Puerto Ayora,EC,2022-07-28 03:42:32,-0.7393,-90.3518,69.55,96,98,10.0
2,Vaini,TO,2022-07-28 03:41:45,-21.2,-175.2,78.96,83,20,10.36
3,Linqing,CN,2022-07-28 03:42:32,36.8456,115.7117,75.6,90,100,8.93
4,Khatanga,RU,2022-07-28 03:42:32,71.9667,102.5,72.39,45,94,4.09
5,Sitka,US,2022-07-28 03:42:33,57.0531,-135.33,60.69,72,100,5.75
6,Pacific Grove,US,2022-07-28 03:41:24,36.6177,-121.9166,64.24,87,40,3.44
7,Rikitea,PF,2022-07-28 03:42:33,-23.1203,-134.9692,74.03,67,100,17.85
8,Norman Wells,CA,2022-07-28 03:42:34,65.282,-126.8329,64.44,55,75,3.44
9,Balma,FR,2022-07-28 03:42:34,43.6111,1.4994,64.31,68,0,11.5
10,Daru,PG,2022-07-28 03:42:34,-9.0763,143.2092,78.12,88,43,19.55
11,Nemuro,JP,2022-07-28 03:42:35,43.3236,145.575,64.96,91,43,4.9
12,Qaanaaq,GL,2022-07-28 03:42:35,77.484,-69.3632,36.48,94,45,2.39
13,Vanimo,PG,2022-07-28 03:42:35,-2.6741,141.3028,84.81,70,64,9.86
14,Port Alfred,ZA,2022-07-28 03:42:36,-33.5906,26.891,63.79,82,89,20.11
15,Tongliao,CN,2022-07-28 03:42:36,43.6125,122.2653,70.56,87,100,5.39
16,Singapore,SG,2022-07-28 03:38:51,1.2897,103.8501,87.66,74,40,11.5
17,Sao Filipe,CV,2022-07-28 03:42:37,14.8961,-24.4956,78.26,88,92,3.98
18,Khandyga,RU,2022-07-28 03:42:37,62.6667,135.6,85.48,33,14,4.18
19,Copiapo,CL,2022-07-28 03:42:38,-27.3667,-70.3333,49.69,71,100,1.61
20,Magole,TZ,2022-07-28 03:42:38,-6.3667,37.3667,63.86,91,43,1.36
21,Vila Velha,BR,2022-07-28 03:41:30,-20.3297,-40.2925,65.95,90,20,1.14
22,Cape Town,ZA,2022-07-28 03:39:40,-33.9258,18.4232,59.38,80,0,2.3
23,Broken Hill,AU,2022-07-28 03:42:39,-31.95,141.4333,60.26,32,6,5.7
24,Tuktoyaktuk,CA,2022-07-28 03:42:39,69.4541,-133.0374,48.2,81,100,11.5
25,Yuki,JP,2022-07-28 03:42:39,36.3,139.8833,87.69,60,90,2.53
26,Saint-Philippe,RE,2022-07-28 03:42:40,-21.3585,55.7679,67.59,85,38,10.11
27,Kodiak,US,2022-07-28 03:42:40,57.79,-152.4072,56.71,62,0,8.05
28,Nikolskoye,RU,2022-07-28 03:41:31,59.7035,30.7861,61.88,75,0,4.56
29,Xining,CN,2022-07-28 03:42:40,36.6167,101.7667,73.8,34,3,2.3
30,Nishihara,JP,2022-07-28 03:42:41,26.1842,127.7558,87.46,79,75,9.22
31,Teknaf,BD,2022-07-28 03:42:41,20.8624,92.3058,86.97,67,85,3.98
32,Mataura,NZ,2022-07-28 03:41:37,-46.1927,168.8643,47.48,98,100,3.78
33,Hearst,CA,2022-07-28 03:42:02,49.6835,-83.6665,57.45,97,54,4.72
34,Mehamn,NO,2022-07-28 03:42:42,71.0357,27.8492,49.95,93,75,20.71
35,Mae Hong Son,TH,2022-07-28 03:42:42,19.3003,97.9685,87.94,66,20,2.3
36,Rawson,AR,2022-07-28 03:42:43,-43.3002,-65.1023,40.39,80,7,16.08
37,Moba,CN,2022-07-28 03:42:43,33.2288,105.0179,75.69,53,0,4.9
38,Kandrian,PG,2022-07-28 03:42:43,-6.2167,149.55,85.39,70,32,13.98
39,Roma,US,2022-07-28 03:42:44,43.2128,-75.4557,71.67,85,40,1.01
40,Liverpool,GB,2022-07-28 03:41:05,53.4106,-2.9779,60.62,90,100,5.75
41,Chengde,CN,2022-07-28 03:42:44,40.9725,117.9361,70.0,91,100,2.3
42,Yellowknife,CA,2022-07-28 03:40:53,62.456,-114.3525,66.72,63,75,11.99
43,Carutapera,BR,2022-07-28 03:42:45,-1.195,-46.02,74.86,90,93,3.47
44,Biryusinsk,RU,2022-07-28 03:42:45,55.9634,97.8235,63.99,58,100,5.21
45,Coquimbo,CL,2022-07-28 03:43:45,-29.9533,-71.3436,53.33,93,75,1.14
46,Bluff,NZ,2022-07-28 03:43:46,-46.6,168.3333,47.8,86,100,11.52
47,Herxheim,DE,2022-07-28 03:43:46,49.1472,8.2132,62.56,49,95,7.31
48,Punta Arenas,CL,2022-07-28 03:43:46,-53.15,-70.9167,39.31,75,20,26.46
49,Ponta Do Sol,PT,2022-07-28 03:43:47,32.6667,-17.1,73.71,74,0,5.91
50,Chokurdakh,RU,2022-07-28 03:43:47,70.6333,147.9167,62.02,33,88,14.52
51,Bongandanga,CD,2022-07-28 03:43:48,1.5,21.05,70.81,94,100,1.74
52,Jamestown,US,2022-07-28 03:39:49,42.097,-79.2353,72.99,74,100,6.91
53,Rocha,UY,2022-07-28 03:43:48,-34.4833,-54.3333,64.42,95,100,8.19
54,Albany,US,2022-07-28 03:43:48,42.6001,-73.9662,69.73,80,94,1.86
55,Galesong,ID,2022-07-28 03:43:49,-5.3166,119.3661,87.82,63,63,1.81
56,Torbay,CA,2022-07-28 03:43:49,47.6666,-52.7314,62.58,92,100,19.57
57,Kodinsk,RU,2022-07-28 03:43:49,58.6881,99.1844,59.54,89,100,1.59
58,Kysyl-Syr,RU,2022-07-28 03:43:50,63.8986,122.7617,86.52,38,20,6.42
59,Mahebourg,MU,2022-07-28 03:41:32,-20.4081,57.7,69.26,88,40,6.91
60,Busselton,AU,2022-07-28 03:43:50,-33.65,115.3333,64.51,68,27,12.55
61,Leh,IN,2022-07-28 03:43:30,34.1667,77.5833,57.13,75,100,6.08
62,Vaitape,PF,2022-07-28 03:43:51,-16.5167,-151.75,78.6,75,13,25.37
63,Mountain Home,US,2022-07-28 03:43:51,43.133,-115.6912,90.88,18,0,11.5
64,Dryden,CA,2022-07-28 03:43:51,49.7833,-92.7503,57.49,94,40,4.61
65,San Jose De Ocoa,DO,2022-07-28 03:43:52,18.55,-70.5,70.97,91,94,4.88
66,Alice Springs,AU,2022-07-28 03:43:52,-23.7,133.8833,69.22,32,1,14.97
67,Puerto Carreno,CO,2022-07-28 03:43:52,6.189,-67.4859,75.07,91,99,7.31
68,San Blas,MX,2022-07-28 03:43:53,21.5167,-105.2667,80.47,80,86,2.77
69,Kaitangata,NZ,2022-07-28 03:43:53,-46.2817,169.8464,44.8,93,100,7.58
70,Port Hardy,CA,2022-07-28 03:43:53,50.6996,-127.4199,69.98,73,20,4.61
71,Weihe,CN,2022-07-28 03:43:54,32.9952,105.3247,83.88,42,0,5.39
72,Kahului,US,2022-07-28 03:43:54,20.8947,-156.47,84.22,65,20,23.02
73,Ayagoz,KZ,2022-07-28 03:43:55,47.9714,80.4392,88.56,16,27,25.34
74,Port Elizabeth,ZA,2022-07-28 03:43:55,-33.918,25.5701,56.32,98,75,3.0
75,Nizhniy Odes,RU,2022-07-28 03:43:55,63.6445,54.856,66.65,50,20,5.5
76,Hobart,AU,2022-07-28 03:43:56,-42.8794,147.3294,53.06,63,93,1.99
77,Nuuk,GL,2022-07-28 03:40:36,64.1835,-51.7216,38.01,100,100,13.8
78,Bilma,NE,2022-07-28 03:43:56,18.6853,12.9164,82.92,58,81,8.72
79,Polis,CY,2022-07-28 03:43:57,35.0367,32.4264,73.22,49,0,0.25
80,Olafsvik,IS,2022-07-28 03:43:57,64.8945,-23.7142,47.93,87,100,27.38
81,Bredasdorp,ZA,2022-07-28 03:42:51,-34.5322,20.0403,47.79,91,0,5.7
82,Luang Prabang,LA,2022-07-28 03:43:57,19.8856,102.1347,85.96,74,20,2.3
83,Richmond,US,2022-07-28 03:39:07,37.5538,-77.4603,78.15,90,0,6.91
84,Hay River,CA,2022-07-28 03:39:36,60.8156,-115.7999,64.38,82,40,5.75
85,Havelock,US,2022-07-28 03:43:58,34.8791,-76.9013,82.36,89,61,5.99
86,Souillac,MU,2022-07-28 03:43:58,-20.5167,57.5167,68.38,88,40,6.91
87,Kavieng,PG,2022-07-28 03:42:49,-2.5744,150.7967,84.96,72,25,18.16
88,Kentau,KZ,2022-07-28 03:43:59,43.5206,68.5094,87.31,21,33,12.03
